entry_date,entry_price,exit_date,exit_price,size,pnl,reason
2022-03-25,44348.73046875,2022-04-06,44381.26481821788,0.5409213387830253,-18.41163590293014,stop_loss
2022-04-06,43206.73828125,2022-04-11,39971.43848836254,0.48539989453157517,-1599.5173762853904,stop_loss
2022-04-11,39521.90234375,2022-04-16,40424.484375,0.4764296249549695,401.12768574486313,signal_exit
2022-11-04,21147.23046875,2022-11-08,20124.41644138018,1.4183320287580383,-1493.5045510799268,stop_loss
2022-11-08,18541.271484375,2022-11-09,16390.860847174,0.9035392130363099,-1965.1950131077654,stop_loss
2023-01-13,19909.57421875,2023-02-09,22335.880623250247,1.558046580734479,3728.0978836966538,stop_loss
2023-02-09,21819.0390625,2023-02-25,22921.91792858601,1.1597801198766862,1239.2204064341656,stop_loss
2023-02-25,23175.375,2023-03-08,21998.858444142625,0.953273791715534,-1152.9988010219527,stop_loss
2023-03-08,21718.080078125,2023-03-09,20246.155201367797,1.3432123733519947,-2017.9000363738076,stop_loss
2023-03-09,20363.021484375,2023-04-19,28873.827403426385,1.0716329743384694,9074.047042739183,stop_loss
2023-04-19,28822.6796875,2023-05-10,27092.87691434329,0.8756500485051969,-1550.2877006953815,stop_loss
2023-05-10,27621.755859375,2023-05-22,26851.27734375,0.811972392717954,-658.3110277383158,signal_exit
2023-06-22,29912.28125,2023-07-17,29725.080794444264,0.7814661830444245,-181.13454361100065,stop_loss
2023-07-17,30145.888671875,2023-08-01,28858.956374818874,1.0976420666166617,-1460.1062329098982,stop_loss
2023-08-01,29675.732421875,2023-08-16,28798.19041149681,1.4959173464725497,-1377.349884458496,stop_loss
2023-08-16,28701.779296875,2023-08-17,27617.84422122002,1.8522339348535464,-2084.433392717263,stop_loss
2023-10-07,27968.83984375,2023-10-11,26639.26242916759,1.2682428622504391,-1736.9046475006476,stop_loss
2023-10-11,26873.3203125,2023-10-14,26861.70703125,1.2456548310779951,-64.65676259544746,signal_exit
2023-10-16,28519.466796875,2023-11-14,35063.8246967177,1.0351823124511006,6720.157367567398,stop_loss
2023-11-14,35537.640625,2023-12-11,41309.62981675316,0.7479085811055596,4270.576506627364,stop_loss
2023-12-11,41243.83203125,2024-01-03,42289.40244851489,0.5775445656491464,567.227490641814,stop_loss
2024-01-03,42848.17578125,2024-01-12,43182.06906432155,0.45929312866148003,123.60504921704256,stop_loss
2024-01-12,42853.16796875,2024-03-05,61579.746907701025,0.3294520765786836,6139.078955411159,stop_loss
2024-03-05,63801.19921875,2024-03-16,65257.08038146724,0.24477531239501274,332.4037830595866,stop_loss
2024-03-16,65315.1171875,2024-04-12,65321.36570985146,0.21880234011800617,-20.071510202750364,stop_loss
2024-04-12,67195.8671875,2024-05-01,58883.82750185195,0.2748626064447208,-2308.946336326082,stop_loss
2024-05-01,58254.01171875,2024-05-02,59123.43359375,0.2897330827197524,226.2052580135966,signal_exit
2024-05-17,67051.875,2024-06-14,65233.343914475416,0.34763263252790344,-666.196607205118,stop_loss
2024-06-14,66011.09375,2024-06-23,63180.796875,0.43554684921212883,-1274.0041817556112,signal_exit
2024-07-23,65927.671875,2024-08-01,63931.32143879015,0.36911453274383454,-772.2789282154101,stop_loss
2024-08-01,65357.5,2024-08-04,59225.48682808058,0.3563939161829981,-2217.0735932088455,stop_loss
2024-09-23,63329.80078125,2024-10-01,61357.08159518683,0.43296398052431756,-893.9644606758139,stop_loss
2024-10-01,60837.0078125,2024-10-10,59808.91560521815,0.3985298538253385,-445.4788946774048,stop_loss
2024-10-10,60274.5,2024-11-03,68024.60749911884,0.4432716190810433,3390.1726323313114,stop_loss
2024-11-03,68741.1171875,2024-12-19,98723.28800681663,0.4170081417826555,12441.05671764979,stop_loss
2024-12-19,97490.953125,2025-01-08,94654.85430672008,0.21264103158810388,-633.2622372017483,stop_loss
2025-01-08,95043.5234375,2025-02-02,96868.28307105252,0.2579305181419321,433.18326810062865,stop_loss
2025-02-02,97688.9765625,2025-02-21,96125.546875,0.2402341720770165,-410.2281983306402,signal_exit
2025-04-25,94720.5,2025-05-30,104332.3209630059,0.320328372999757,3028.808066706585,stop_loss
2025-05-30,103998.5703125,2025-06-05,100496.31424921149,0.33707173461421647,-1231.3232267652922,stop_loss
2025-06-05,101575.953125,2025-06-13,103021.40407794448,0.3451854328176636,445.6063808746505,stop_loss
2025-06-13,106090.96875,2025-06-21,101959.42999739978,0.3385049806019132,-1450.3171076151666,stop_loss
2025-06-21,102257.40625,2025-07-15,116036.35429009401,0.33694759676462666,4584.136171981275,stop_loss
2025-07-15,117777.1875,2025-08-01,113332.22206259971,0.335150612932363,-1546.707936341775,stop_loss
2025-08-01,113320.0859375,2025-08-18,116469.2376998417,0.35344590462575315,1051.306430824809,stop_loss
2025-08-18,116252.3125,2025-08-25,109403.56848432723,0.36054718451248363,-2528.463095186502,stop_loss
2025-08-25,110124.3515625,2025-08-30,108808.0703125,0.2843532723761778,-420.6987770863507,signal_exit
2025-09-15,115444.875,2025-09-22,112625.02195374665,0.46317066771214377,-1384.3201282124055,stop_loss
2025-09-22,112748.5078125,2025-09-25,108796.0059186532,0.4836199662638653,-1990.4327136280858,stop_loss
2025-09-25,109049.2890625,2025-09-26,109712.828125,0.3882027477903178,193.7014553097536,signal_exit
2025-10-01,118648.9296875,2025-10-10,119201.12893011417,0.3630714861816679,135.57000313153293,stop_loss
2025-10-10,113214.3671875,2025-10-17,104278.6757084279,0.18557601409366398,-1687.2774393463221,stop_loss
